METRIC,APPLIED,FUNDED
Circus,0,0
Combined Arts,8,8
Crafts,0,0
Dance,4,4
Design,0,0
Digital Media,0,0
Festival/Carnival,1,0
Film,2,0
Literature / Poetry / Spoken Word,1,1
Live Art,2,2
Music,5,5
Photography,0,0
Theatre,8,7
Visual Art,3,3
