METRIC,APPLIED,FUNDED
African,11,11
Any other Asian background,9,8
Any other Black background,2,2
Any other background,8,7
Any other mixed/multiple ethnic group,0,0
Any other white background,16,16
Arab,3,1
Asian or Asian British,3,3
Bangladeshi,6,2
Black or Black British,0,0
Caribbean,14,13
Chinese,3,3
Indian,12,12
Kashmiri,0,0
Mixed/ multiple ethnic group,0,0
Other ethnic groups,0,0
Pakistani,3,1
Prefer not to say,18,18
White,16,16
White British,138,96
White English,327,318
White Gypsy or Traveller,0,0
White Irish,4,4
White Northern Irish,0,0
White Scottish,2,2
White Welsh,0,0
White and Asian,6,5
White and Black African,4,4
White and Black Caribbean,11,11
