METRIC,APPLIED,FUNDED
18 - 24,56,55
25 - 34,153,144
35 - 44,166,146
45 - 54,101,91
55 - 64,107,95
65 - 74,39,38
75 - 84,10,9
85+,1,1
Not known,11,2
Prefer not to say,0,0
