METRIC,APPLIED,FUNDED
Days employment for freelance artists and creatives,2323,172
Learning or participation sessions,91,44
New cultural activities/products,79,51
Performances or exhibition days,7431,350
Training opportunities,174,30
Volunteer opportunities,244,59
