METRIC,APPLIED,FUNDED
Buddhist,3,3
Christian,15,15
Hindu,0,0
Jewish,10,10
Muslim,9,4
No religion/belief,61,61
Not known,527,469
Other,2,2
Prefer not to say,37,37
Sikh,0,0
