METRIC,APPLIED,FUNDED
Circus,0,0
Combined Arts,0,0
Crafts,0,0
Dance,1,1
Design,0,0
Digital Media,0,0
Festival/Carnival,0,0
Film,0,0
Literature / Poetry / Spoken Word,0,0
Live Art,0,0
Music,1,1
Photography,0,0
Theatre,1,1
Visual Art,0,0
