METRIC,APPLIED,FUNDED
18 - 24,25,23
25 - 34,94,92
35 - 44,67,59
45 - 54,46,43
55 - 64,55,48
65 - 74,8,2
75 - 84,4,3
85+,0,0
Not known,198,198
Prefer not to say,7,7
