METRIC,APPLIED,FUNDED
Days employment for freelance artists and creatives,5856,5708
Learning or participation sessions,3703,3670
New cultural activities/products,429,276
Performances or exhibition days,4088,4057
Training opportunities,195,180
Volunteer opportunities,325,251
