METRIC,APPLIED,FUNDED
African,2,2
Any other Asian background,6,6
Any other Black background,4,4
Any other background,8,8
Any other mixed/multiple ethnic group,5,5
Any other white background,26,26
Arab,0,0
Asian or Asian British,0,0
Bangladeshi,1,1
Black or Black British,3,3
Caribbean,9,9
Chinese,2,2
Indian,13,13
Kashmiri,0,0
Mixed/ multiple ethnic group,1,1
Other ethnic groups,1,1
Pakistani,3,3
Prefer not to say,29,7
White,18,18
White British,23,23
White English,181,175
White Gypsy or Traveller,0,0
White Irish,6,6
White Northern Irish,1,0
White Scottish,2,2
White Welsh,0,0
White and Asian,1,1
White and Black African,5,5
White and Black Caribbean,1,1
