METRIC,APPLIED,FUNDED
Buddhist,0,0
Christian,4,4
Hindu,0,0
Jewish,0,0
Muslim,5,5
No religion/belief,62,61
Not known,402,395
Other,11,11
Prefer not to say,33,11
Sikh,0,0
