METRIC,APPLIED,FUNDED
Circus,0,0
Combined Arts,2,2
Crafts,0,0
Dance,2,2
Design,0,0
Digital Media,0,0
Festival/Carnival,1,1
Film,0,0
Literature / Poetry / Spoken Word,2,0
Live Art,0,0
Music,2,2
Photography,0,0
Theatre,2,2
Visual Art,1,1
