title,value
Total media,3139
UV Max,136475913
Reach,24886000
Total media - Local,457
Total media - Regional,314
Total media - National,147
Total media - International,127
Total media - Unknown,2106
Total audience reach,372877906
Total unique views,2703179011
Total estimated circulation,3076056917
Total editorial articles,2172
