title,twitter,instagram,facebook,linkedin,total
Audience last,1718560,745984,503146,327104,3294794
Total engagements,127562,55213,254362,22471,459608
Total audience gained,6645,9861,0,3983,20489
Total impressions,5629547,3128699,6623712,282596,15664554
