METRIC,APPLIED,FUNDED
Days employment for freelance artists and creatives,663,172
Learning or participation sessions,82,44
New cultural activities/products,218,51
Performances or exhibition days,431,350
Training opportunities,57,30
Volunteer opportunities,151,59
