METRIC,APPLIED,FUNDED
18 - 24,1,1
25 - 34,3,3
35 - 44,3,3
45 - 54,0,0
55 - 64,0,0
65 - 74,0,0
75 - 84,0,0
85+,0,0
Not known,0,0
Prefer not to say,0,0
