METRIC,APPLIED,FUNDED
Circus,0,0
Combined Arts,0,0
Crafts,0,0
Dance,0,0
Design,0,0
Digital Media,0,0
Festival/Carnival,2,2
Film,0,0
Literature / Poetry / Spoken Word,0,0
Live Art,0,0
Music,1,1
Photography,0,0
Theatre,0,0
Visual Art,0,0
