METRIC,APPLIED,FUNDED
Buddhist,0,0
Christian,0,0
Hindu,0,0
Jewish,0,0
Muslim,0,0
No religion/belief,6,6
Not known,0,0
Other,0,0
Prefer not to say,0,0
Sikh,0,0
