METRIC,APPLIED,FUNDED
Days employment for freelance artists and creatives,336,336
Learning or participation sessions,42,42
New cultural activities/products,14,14
Performances or exhibition days,17,17
Training opportunities,528,528
Volunteer opportunities,120,120
