THEME,METRIC,APPLIED,FUNDED
ETHNIC ORIGIN,Any other mixed/multiple ethnic group,4,3
ETHNIC ORIGIN,Any other white background,17,5
ETHNIC ORIGIN,Caribbean,5,3
ETHNIC ORIGIN,Chinese,3,2
ETHNIC ORIGIN,Indian,15,4
ETHNIC ORIGIN,White British,29,5
ETHNIC ORIGIN,White English,88,47
ETHNIC ORIGIN,White Scottish,5,1
ETHNIC ORIGIN,White Welsh,3,1
ETHNIC ORIGIN,White and Asian,2,2
ETHNIC ORIGIN,White and Black African,2,1
