ward_code,metric,ward_name,value
E05011395,WARDS - FUNDED,Guiseley & Rawdon,0
E05011549,WARDS - FUNDED,Otley & Yeadon,1
E05012841,WARDS - FUNDED,Adel and Wharfedale,0
E05012842,WARDS - FUNDED,Alwoodley,0
E05011396,WARDS - FUNDED,Harewood,0
E05011414,WARDS - FUNDED,Wetherby,1
E05011547,WARDS - FUNDED,Horsforth,1
E05011413,WARDS - FUNDED,Weetwood,2
E05011405,WARDS - FUNDED,Moortown,2
E05011411,WARDS - FUNDED,Roundhay,0
E05011389,WARDS - FUNDED,Calverley & Farsley,1
E05011387,WARDS - FUNDED,Bramley & Stanningley,0
E05011402,WARDS - FUNDED,Kirkstall,1
E05011397,WARDS - FUNDED,Headingley & Hyde Park,2
E05011390,WARDS - FUNDED,Chapel Allerton,1
E05011400,WARDS - FUNDED,Killingbeck & Seacroft,0
E05011409,WARDS - FUNDED,Pudsey,1
E05011385,WARDS - FUNDED,Armley,0
E05011403,WARDS - FUNDED,Little London & Woodhouse,1
E05011394,WARDS - FUNDED,Gipton & Harehills,0
E05011391,WARDS - FUNDED,Cross Gates & Whinmoor,0
E05012648,WARDS - FUNDED,Farnley & Wortley,1
E05012647,WARDS - FUNDED,Beeston & Holbeck,1
E05011399,WARDS - FUNDED,Hunslet & Riverside,0
E05011388,WARDS - FUNDED,Burmantofts & Richmond Hill,0
E05013831,WARDS - FUNDED,Temple Newsam,0
E05011406,WARDS - FUNDED,Morley North,0
E05011404,WARDS - FUNDED,Middleton Park,0
E05011410,WARDS - FUNDED,Rothwell,0
E05013830,WARDS - FUNDED,Garforth & Swillington,0
E05011407,WARDS - FUNDED,Morley South,0
E05011384,WARDS - FUNDED,Ardsley & Robin Hood,0
E05011401,WARDS - FUNDED,Kippax & Methley,0
