THEME,METRIC,APPLIED,FUNDED
RELIGIOUS BELIEF,Buddhist,3,3
RELIGIOUS BELIEF,Christian,19,19
RELIGIOUS BELIEF,Jewish,10,10
RELIGIOUS BELIEF,Muslim,14,9
RELIGIOUS BELIEF,No religion/belief,123,122
RELIGIOUS BELIEF,Not known,1304,1239
RELIGIOUS BELIEF,Other,13,13
RELIGIOUS BELIEF,Prefer not to say,70,48
