THEME,METRIC,APPLIED,FUNDED
ETHNIC ORIGIN,African,15,15
ETHNIC ORIGIN,Any other Asian background,18,17
ETHNIC ORIGIN,Any other Black background,6,6
ETHNIC ORIGIN,Any other background,21,20
ETHNIC ORIGIN,Any other mixed/multiple ethnic group,6,6
ETHNIC ORIGIN,Any other white background,71,71
ETHNIC ORIGIN,Arab,3,1
ETHNIC ORIGIN,Asian or Asian British,4,4
ETHNIC ORIGIN,Bangladeshi,7,3
ETHNIC ORIGIN,Black or Black British,3,3
ETHNIC ORIGIN,Caribbean,27,26
ETHNIC ORIGIN,Chinese,8,8
ETHNIC ORIGIN,Indian,28,28
ETHNIC ORIGIN,Mixed/ multiple ethnic group,1,1
ETHNIC ORIGIN,Other ethnic groups,1,1
ETHNIC ORIGIN,Pakistani,8,6
ETHNIC ORIGIN,Prefer not to say,103,81
ETHNIC ORIGIN,White,34,34
ETHNIC ORIGIN,White British,437,395
ETHNIC ORIGIN,White English,508,493
ETHNIC ORIGIN,White Irish,13,13
ETHNIC ORIGIN,White Scottish,4,4
ETHNIC ORIGIN,White and Asian,8,7
ETHNIC ORIGIN,White and Black African,9,9
ETHNIC ORIGIN,White and Black Caribbean,14,14
