THEME,METRIC,APPLIED,FUNDED
SEXUAL ORIENTATION,Bi-sexual,49,48
SEXUAL ORIENTATION,Gay,53,49
SEXUAL ORIENTATION,Heterosexual or Straight,554,542
SEXUAL ORIENTATION,Lesbian,19,19
SEXUAL ORIENTATION,Not known,762,687
SEXUAL ORIENTATION,Other,28,28
SEXUAL ORIENTATION,Prefer not to say,61,60
