METRIC,APPLIED,FUNDED
18 - 24,31,31
25 - 34,88,88
35 - 44,71,71
45 - 54,71,71
55 - 64,66,66
65 - 74,11,11
75 - 84,1,1
85+,0,0
Not known,47,47
Prefer not to say,4,4
