METRIC,APPLIED,FUNDED
Days employment for freelance artists and creatives,757,222
Learning or participation sessions,234,83
New cultural activities/products,365,252
Performances or exhibition days,942,490
Training opportunities,233,53
Volunteer opportunities,241,105
