METRIC,APPLIED,FUNDED
Circus,0,0
Combined Arts,4,0
Crafts,1,1
Dance,1,0
Design,0,0
Digital Media,2,2
Festival/Carnival,1,0
Film,2,0
Literature / Poetry / Spoken Word,1,0
Live Art,0,0
Music,7,2
Photography,2,1
Theatre,1,0
Visual Art,5,3
