METRIC,APPLIED,FUNDED
Buddhist,0,0
Christian,15,13
Hindu,0,0
Jewish,1,0
Muslim,0,0
No religion/belief,21,13
Not known,54,16
Other,0,0
Prefer not to say,16,12
Sikh,0,0
