METRIC,APPLIED,FUNDED
18 - 24,11,1
25 - 34,16,3
35 - 44,24,17
45 - 54,14,3
55 - 64,9,7
65 - 74,8,4
75 - 84,13,8
85+,1,1
Not known,2,0
Prefer not to say,0,0
