METRIC,APPLIED,FUNDED
African,3,0
Any other Asian background,0,0
Any other Black background,0,0
Any other background,0,0
Any other mixed/multiple ethnic group,3,2
Any other white background,15,4
Arab,0,0
Asian or Asian British,1,0
Bangladeshi,0,0
Black or Black British,0,0
Caribbean,4,2
Chinese,1,0
Indian,11,0
Kashmiri,0,0
Mixed/ multiple ethnic group,0,0
Other ethnic groups,0,0
Pakistani,1,0
Prefer not to say,41,0
White,0,0
White British,27,3
White English,68,33
White Gypsy or Traveller,0,0
White Irish,0,0
White Northern Irish,0,0
White Scottish,3,0
White Welsh,3,1
White and Asian,2,2
White and Black African,2,1
White and Black Caribbean,1,0
